Station;To;Departure;Arrival;Type;ID;Duration;Distance;Speed
Ht;Ehv;2025-08-06 12:08:00;2025-08-06 12:27:00;Int;1;19;32.1;101.4
Ht;Ehv;2025-08-06 12:24:00;2025-08-06 12:43:00;Int;2;19;32.1;101.4
Ht;Ehv;2025-08-06 12:38:00;2025-08-06 12:57:00;Int;3;19;32.1;101.4
Ht;Ehv;2025-08-06 12:54:00;2025-08-06 13:13:00;Int;4;19;32.1;101.4
Ht;Ehv;2025-08-06 13:08:00;2025-08-06 13:27:00;Int;5;19;32.1;101.4
Ht;Ehv;2025-08-06 13:24:00;2025-08-06 13:43:00;Int;6;19;32.1;101.4
Ht;Ehv;2025-08-06 13:38:00;2025-08-06 13:57:00;Int;7;19;32.1;101.4
Ht;Ehv;2025-08-06 13:54:00;2025-08-06 14:13:00;Int;8;19;32.1;101.4
Ht;Ehv;2025-08-06 14:08:00;2025-08-06 14:27:00;Int;9;19;32.1;101.4
Ht;Ehv;2025-08-06 14:24:00;2025-08-06 14:43:00;Int;10;19;32.1;101.4
Ht;Ehv;2025-08-06 14:38:00;2025-08-06 14:57:00;Int;11;19;32.1;101.4
Ehv;Ht;2025-08-06 12:02:00;2025-08-06 12:21:00;Int;13;19;32.1;101.4
Ehv;Ht;2025-08-06 12:17:00;2025-08-06 12:36:00;Int;14;19;32.1;101.4
Ehv;Ht;2025-08-06 12:32:00;2025-08-06 12:51:00;Int;15;19;32.1;101.4
Ehv;Ht;2025-08-06 12:47:00;2025-08-06 13:06:00;Int;16;19;32.1;101.4
Ehv;Ht;2025-08-06 13:02:00;2025-08-06 13:21:00;Int;17;19;32.1;101.4
Ehv;Ht;2025-08-06 13:17:00;2025-08-06 13:36:00;Int;18;19;32.1;101.4
Ehv;Ht;2025-08-06 13:32:00;2025-08-06 13:51:00;Int;19;19;32.1;101.4
Ehv;Ht;2025-08-06 13:47:00;2025-08-06 14:06:00;Int;20;19;32.1;101.4
Ehv;Ht;2025-08-06 14:02:00;2025-08-06 14:21:00;Int;21;19;32.1;101.4
Ehv;Ht;2025-08-06 14:17:00;2025-08-06 14:36:00;Int;22;19;32.1;101.4
Ehv;Ht;2025-08-06 14:32:00;2025-08-06 14:51:00;Int;23;19;32.1;101.4
Ht;Tb;2025-08-06 12:03:00;2025-08-06 12:17:00;Spr;25;14;22.3;95.6
Ht;Tb;2025-08-06 12:11:00;2025-08-06 12:26:00;Int;26;15;22.3;89.2
Ht;Tb;2025-08-06 12:33:00;2025-08-06 12:47:00;Spr;27;14;22.3;95.6
Ht;Tb;2025-08-06 12:41:00;2025-08-06 12:56:00;Int;28;15;22.3;89.2
Ht;Tb;2025-08-06 13:03:00;2025-08-06 13:17:00;Spr;29;14;22.3;95.6
Ht;Tb;2025-08-06 13:11:00;2025-08-06 13:26:00;Int;30;15;22.3;89.2
Ht;Tb;2025-08-06 13:33:00;2025-08-06 13:47:00;Spr;31;14;22.3;95.6
Ht;Tb;2025-08-06 13:41:00;2025-08-06 13:56:00;Int;32;15;22.3;89.2
Ht;Tb;2025-08-06 14:03:00;2025-08-06 14:17:00;Spr;33;14;22.3;95.6
Ht;Tb;2025-08-06 14:11:00;2025-08-06 14:26:00;Int;34;15;22.3;89.2
Ht;Tb;2025-08-06 14:33:00;2025-08-06 14:47:00;Spr;35;14;22.3;95.6
Ht;Tb;2025-08-06 14:41:00;2025-08-06 14:56:00;Int;36;15;22.3;89.2
Tb;Ht;2025-08-06 12:03:00;2025-08-06 12:18:00;Int;37;15;22.3;89.2
Tb;Ht;2025-08-06 12:13:00;2025-08-06 12:28:00;Spr;38;15;22.3;89.2
Tb;Ht;2025-08-06 12:33:00;2025-08-06 12:48:00;Int;39;15;22.3;89.2
Tb;Ht;2025-08-06 12:43:00;2025-08-06 12:58:00;Spr;40;15;22.3;89.2
Tb;Ht;2025-08-06 13:03:00;2025-08-06 13:18:00;Int;41;15;22.3;89.2
Tb;Ht;2025-08-06 13:13:00;2025-08-06 13:28:00;Spr;42;15;22.3;89.2
Tb;Ht;2025-08-06 13:33:00;2025-08-06 13:48:00;Int;43;15;22.3;89.2
Tb;Ht;2025-08-06 13:43:00;2025-08-06 13:58:00;Spr;44;15;22.3;89.2
Tb;Ht;2025-08-06 14:03:00;2025-08-06 14:18:00;Int;45;15;22.3;89.2
Tb;Ht;2025-08-06 14:13:00;2025-08-06 14:28:00;Spr;46;15;22.3;89.2
Tb;Ht;2025-08-06 14:33:00;2025-08-06 14:48:00;Int;47;15;22.3;89.2
Tb;Ht;2025-08-06 14:43:00;2025-08-06 14:58:00;Spr;48;15;22.3;89.2
Ehv;Tb;2025-08-06 12:14:00;2025-08-06 12:35:00;Int;49;21;36.9;105.4
Ehv;Tb;2025-08-06 12:43:00;2025-08-06 13:05:00;Int;50;22;36.9;100.6
Ehv;Tb;2025-08-06 13:14:00;2025-08-06 13:35:00;Int;51;21;36.9;105.4
Ehv;Tb;2025-08-06 13:43:00;2025-08-06 14:05:00;Int;52;22;36.9;100.6
Ehv;Tb;2025-08-06 14:14:00;2025-08-06 14:35:00;Int;53;21;36.9;105.4
Tb;Ehv;2025-08-06 12:24:00;2025-08-06 12:47:00;Int;55;23;36.9;96.3
Tb;Ehv;2025-08-06 12:54:00;2025-08-06 13:18:00;Int;56;24;36.9;92.2
Tb;Ehv;2025-08-06 13:24:00;2025-08-06 13:47:00;Int;57;23;36.9;96.3
Tb;Ehv;2025-08-06 13:54:00;2025-08-06 14:18:00;Int;58;24;36.9;92.2
Tb;Ehv;2025-08-06 14:24:00;2025-08-06 14:47:00;Int;59;23;36.9;96.3
Ht;Vg;2025-08-06 12:28:00;2025-08-06 12:32:00;Spr;61;4;4.2;63.0
Vg;Btl;2025-08-06 12:32:00;2025-08-06 12:38:00;Spr;61;6;8.0;80.0
Btl;Bet;2025-08-06 12:38:00;2025-08-06 12:45:00;Spr;61;7;9.9;84.9
Bet;Ehs;2025-08-06 12:45:00;2025-08-06 12:51:00;Spr;61;6;7.4;74.0
Ehs;Ehv;2025-08-06 12:51:00;2025-08-06 12:54:00;Spr;61;3;2.6;52.0
Ht;Vg;2025-08-06 13:00:00;2025-08-06 13:04:00;Spr;62;4;4.2;63.0
Vg;Btl;2025-08-06 13:04:00;2025-08-06 13:10:00;Spr;62;6;8.0;80.0
Btl;Bet;2025-08-06 13:10:00;2025-08-06 13:17:00;Spr;62;7;9.9;84.9
Bet;Ehs;2025-08-06 13:17:00;2025-08-06 13:23:00;Spr;62;6;7.4;74.0
Ehs;Ehv;2025-08-06 13:23:00;2025-08-06 13:26:00;Spr;62;3;2.6;52.0
Ht;Vg;2025-08-06 13:28:00;2025-08-06 13:32:00;Spr;63;4;4.2;63.0
Vg;Btl;2025-08-06 13:32:00;2025-08-06 13:38:00;Spr;63;6;8.0;80.0
Btl;Bet;2025-08-06 13:38:00;2025-08-06 13:45:00;Spr;63;7;9.9;84.9
Bet;Ehs;2025-08-06 13:45:00;2025-08-06 13:51:00;Spr;63;6;7.4;74.0
Ehs;Ehv;2025-08-06 13:51:00;2025-08-06 13:54:00;Spr;63;3;2.6;52.0
Ht;Vg;2025-08-06 13:58:00;2025-08-06 14:02:00;Spr;64;4;4.2;63.0
Vg;Btl;2025-08-06 14:02:00;2025-08-06 14:08:00;Spr;64;6;8.0;80.0
Btl;Bet;2025-08-06 14:08:00;2025-08-06 14:15:00;Spr;64;7;9.9;84.9
Bet;Ehs;2025-08-06 14:15:00;2025-08-06 14:21:00;Spr;64;6;7.4;74.0
Ehs;Ehv;2025-08-06 14:21:00;2025-08-06 14:24:00;Spr;64;3;2.6;52.0
Ht;Vg;2025-08-06 14:28:00;2025-08-06 14:32:00;Spr;65;4;4.2;63.0
Vg;Btl;2025-08-06 14:32:00;2025-08-06 14:38:00;Spr;65;6;8.0;80.0
Btl;Bet;2025-08-06 14:38:00;2025-08-06 14:45:00;Spr;65;7;9.9;84.9
Bet;Ehs;2025-08-06 14:45:00;2025-08-06 14:51:00;Spr;65;6;7.4;74.0
Ehs;Ehv;2025-08-06 14:51:00;2025-08-06 14:54:00;Spr;65;3;2.6;52.0
Btl;Bet;2025-08-06 12:22:00;2025-08-06 12:28:00;Spr;66;6;9.9;99.0
Bet;Ehs;2025-08-06 12:28:00;2025-08-06 12:34:00;Spr;66;6;7.4;74.0
Ehs;Ehv;2025-08-06 12:34:00;2025-08-06 12:38:00;Spr;66;4;2.6;39.0
Ot;Btl;2025-08-06 12:14:00;2025-08-06 12:22:00;Spr;66;8;8.9;66.8
Tb;Ot;2025-08-06 12:08:00;2025-08-06 12:14:00;Spr;66;6;8.1;81.0
Btl;Bet;2025-08-06 12:52:00;2025-08-06 12:58:00;Spr;67;6;9.9;99.0
Bet;Ehs;2025-08-06 12:58:00;2025-08-06 13:04:00;Spr;67;6;7.4;74.0
Ehs;Ehv;2025-08-06 13:04:00;2025-08-06 13:08:00;Spr;67;4;2.6;39.0
Ot;Btl;2025-08-06 12:44:00;2025-08-06 12:52:00;Spr;67;8;8.9;66.8
Tb;Ot;2025-08-06 12:38:00;2025-08-06 12:44:00;Spr;67;6;8.1;81.0
Btl;Bet;2025-08-06 13:22:00;2025-08-06 13:28:00;Spr;68;6;9.9;99.0
Bet;Ehs;2025-08-06 13:28:00;2025-08-06 13:34:00;Spr;68;6;7.4;74.0
Ehs;Ehv;2025-08-06 13:34:00;2025-08-06 13:38:00;Spr;68;4;2.6;39.0
Ot;Btl;2025-08-06 13:14:00;2025-08-06 13:22:00;Spr;68;8;8.9;66.8
Tb;Ot;2025-08-06 13:08:00;2025-08-06 13:14:00;Spr;68;6;8.1;81.0
Btl;Bet;2025-08-06 13:52:00;2025-08-06 13:58:00;Spr;69;6;9.9;99.0
Bet;Ehs;2025-08-06 13:58:00;2025-08-06 14:04:00;Spr;69;6;7.4;74.0
Ehs;Ehv;2025-08-06 14:04:00;2025-08-06 14:08:00;Spr;69;4;2.6;39.0
Ot;Btl;2025-08-06 13:44:00;2025-08-06 13:52:00;Spr;69;8;8.9;66.8
Tb;Ot;2025-08-06 13:38:00;2025-08-06 13:44:00;Spr;69;6;8.1;81.0
Btl;Bet;2025-08-06 14:22:00;2025-08-06 14:28:00;Spr;70;6;9.9;99.0
Bet;Ehs;2025-08-06 14:28:00;2025-08-06 14:34:00;Spr;70;6;7.4;74.0
Ehs;Ehv;2025-08-06 14:34:00;2025-08-06 14:38:00;Spr;70;4;2.6;39.0
Ot;Btl;2025-08-06 14:14:00;2025-08-06 14:22:00;Spr;70;8;8.9;66.8
Tb;Ot;2025-08-06 14:08:00;2025-08-06 14:14:00;Spr;70;6;8.1;81.0
Btl;Bet;2025-08-06 14:52:00;2025-08-06 14:58:00;Spr;71;6;9.9;99.0
Ot;Btl;2025-08-06 14:44:00;2025-08-06 14:52:00;Spr;71;8;8.9;66.8
Tb;Ot;2025-08-06 14:38:00;2025-08-06 14:44:00;Spr;71;6;8.1;81.0
Vg;Ht;2025-08-06 12:28:00;2025-08-06 12:32:00;Spr;72;4;4.2;63.0
Btl;Vg;2025-08-06 12:22:00;2025-08-06 12:28:00;Spr;72;6;8.0;80.0
Bet;Btl;2025-08-06 12:15:00;2025-08-06 12:22:00;Spr;72;7;9.9;84.9
Ehs;Bet;2025-08-06 12:09:00;2025-08-06 12:15:00;Spr;72;6;7.4;74.0
Ehv;Ehs;2025-08-06 12:06:00;2025-08-06 12:09:00;Spr;72;3;2.6;52.0
Vg;Ht;2025-08-06 12:59:00;2025-08-06 13:03:00;Spr;73;4;4.2;63.0
Btl;Vg;2025-08-06 12:53:00;2025-08-06 12:59:00;Spr;73;6;8.0;80.0
Bet;Btl;2025-08-06 12:45:00;2025-08-06 12:51:00;Spr;73;6;9.9;99.0
Ehs;Bet;2025-08-06 12:39:00;2025-08-06 12:45:00;Spr;73;6;7.4;74.0
Ehv;Ehs;2025-08-06 12:35:00;2025-08-06 12:39:00;Spr;73;4;2.6;39.0
Vg;Ht;2025-08-06 13:28:00;2025-08-06 13:32:00;Spr;74;4;4.2;63.0
Btl;Vg;2025-08-06 13:22:00;2025-08-06 13:28:00;Spr;74;6;8.0;80.0
Bet;Btl;2025-08-06 13:15:00;2025-08-06 13:22:00;Spr;74;7;9.9;84.9
Ehs;Bet;2025-08-06 13:09:00;2025-08-06 13:15:00;Spr;74;6;7.4;74.0
Ehv;Ehs;2025-08-06 13:06:00;2025-08-06 13:09:00;Spr;74;3;2.6;52.0
Vg;Ht;2025-08-06 13:58:00;2025-08-06 14:02:00;Spr;75;4;4.2;63.0
Btl;Vg;2025-08-06 13:52:00;2025-08-06 13:58:00;Spr;75;6;8.0;80.0
Bet;Btl;2025-08-06 13:45:00;2025-08-06 13:52:00;Spr;75;7;9.9;84.9
Ehs;Bet;2025-08-06 13:39:00;2025-08-06 13:45:00;Spr;75;6;7.4;74.0
Ehv;Ehs;2025-08-06 13:36:00;2025-08-06 13:39:00;Spr;75;3;2.6;52.0
Vg;Ht;2025-08-06 14:28:00;2025-08-06 14:32:00;Spr;76;4;4.2;63.0
Btl;Vg;2025-08-06 14:22:00;2025-08-06 14:28:00;Spr;76;6;8.0;80.0
Bet;Btl;2025-08-06 14:15:00;2025-08-06 14:22:00;Spr;76;7;9.9;84.9
Ehs;Bet;2025-08-06 14:09:00;2025-08-06 14:15:00;Spr;76;6;7.4;74.0
Ehv;Ehs;2025-08-06 14:06:00;2025-08-06 14:09:00;Spr;76;3;2.6;52.0
Btl;Vg;2025-08-06 14:53:00;2025-08-06 14:59:00;Spr;77;6;8.0;80.0
Bet;Btl;2025-08-06 14:45:00;2025-08-06 14:51:00;Spr;77;6;9.9;99.0
Ehs;Bet;2025-08-06 14:39:00;2025-08-06 14:45:00;Spr;77;6;7.4;74.0
Ehv;Ehs;2025-08-06 14:36:00;2025-08-06 14:39:00;Spr;77;3;2.6;52.0
Bet;Btl;2025-08-06 12:30:00;2025-08-06 12:37:00;Spr;78;7;9.9;84.9
Ehs;Bet;2025-08-06 12:24:00;2025-08-06 12:30:00;Spr;78;6;7.4;74.0
Ehv;Ehs;2025-08-06 12:21:00;2025-08-06 12:24:00;Spr;78;3;2.6;52.0
Btl;Ot;2025-08-06 12:37:00;2025-08-06 12:44:00;Spr;78;7;8.9;76.3
Ot;Tb;2025-08-06 12:44:00;2025-08-06 12:50:00;Spr;78;6;8.1;81.0
Bet;Btl;2025-08-06 13:00:00;2025-08-06 13:07:00;Spr;79;7;9.9;84.9
Ehs;Bet;2025-08-06 12:54:00;2025-08-06 13:00:00;Spr;79;6;7.4;74.0
Ehv;Ehs;2025-08-06 12:51:00;2025-08-06 12:54:00;Spr;79;3;2.6;52.0
Btl;Ot;2025-08-06 13:07:00;2025-08-06 13:14:00;Spr;79;7;8.9;76.3
Ot;Tb;2025-08-06 13:14:00;2025-08-06 13:20:00;Spr;79;6;8.1;81.0
Bet;Btl;2025-08-06 13:30:00;2025-08-06 13:37:00;Spr;80;7;9.9;84.9
Ehs;Bet;2025-08-06 13:24:00;2025-08-06 13:30:00;Spr;80;6;7.4;74.0
Ehv;Ehs;2025-08-06 13:21:00;2025-08-06 13:24:00;Spr;80;3;2.6;52.0
Btl;Ot;2025-08-06 13:37:00;2025-08-06 13:44:00;Spr;80;7;8.9;76.3
Ot;Tb;2025-08-06 13:44:00;2025-08-06 13:50:00;Spr;80;6;8.1;81.0
Bet;Btl;2025-08-06 14:00:00;2025-08-06 14:07:00;Spr;81;7;9.9;84.9
Ehs;Bet;2025-08-06 13:54:00;2025-08-06 14:00:00;Spr;81;6;7.4;74.0
Ehv;Ehs;2025-08-06 13:51:00;2025-08-06 13:54:00;Spr;81;3;2.6;52.0
Btl;Ot;2025-08-06 14:07:00;2025-08-06 14:14:00;Spr;81;7;8.9;76.3
Ot;Tb;2025-08-06 14:14:00;2025-08-06 14:20:00;Spr;81;6;8.1;81.0
Bet;Btl;2025-08-06 14:30:00;2025-08-06 14:37:00;Spr;82;7;9.9;84.9
Ehs;Bet;2025-08-06 14:24:00;2025-08-06 14:30:00;Spr;82;6;7.4;74.0
Ehv;Ehs;2025-08-06 14:21:00;2025-08-06 14:24:00;Spr;82;3;2.6;52.0
Btl;Ot;2025-08-06 14:37:00;2025-08-06 14:44:00;Spr;82;7;8.9;76.3
Ot;Tb;2025-08-06 14:44:00;2025-08-06 14:50:00;Spr;82;6;8.1;81.0
Ehs;Bet;2025-08-06 14:54:00;2025-08-06 15:00:00;Spr;83;6;7.4;74.0
Ehv;Ehs;2025-08-06 14:51:00;2025-08-06 14:54:00;Spr;83;3;2.6;52.0
Vg;Btl;2025-08-06 12:02:00;2025-08-06 12:08:00;Spr;84;6;8.0;80.0
Btl;Bet;2025-08-06 12:08:00;2025-08-06 12:15:00;Spr;84;7;9.9;84.9
Bet;Ehs;2025-08-06 12:15:00;2025-08-06 12:21:00;Spr;84;6;7.4;74.0
Ehs;Ehv;2025-08-06 12:21:00;2025-08-06 12:24:00;Spr;84;3;2.6;52.0
Bet;Btl;2025-08-06 12:00:00;2025-08-06 12:07:00;Spr;85;7;9.9;84.9
Btl;Ot;2025-08-06 12:07:00;2025-08-06 12:14:00;Spr;85;7;8.9;76.3
Ot;Tb;2025-08-06 12:14:00;2025-08-06 12:20:00;Spr;85;6;8.1;81.0
Ehs;Ehv;2025-08-06 12:04:00;2025-08-06 12:08:00;Spr;86;4;2.6;39.0
